AI / Machine Learning Engineer	14	460,679,183,673,470.00	21,463,438.30
Automation Tester	4	72,986,875,000,000.00	8,543,235.63
Backend Developer	72	300,281,663,564,621.75	17,328,637.09
Banking & Financial Systems Developer	2	42,250,000,000,000.00	6,500,000.00
Bridge System Engineer (BrSE)	4	64,642,500,000,000.00	8,040,055.97
Business Analyst	18	175,789,135,802,469.12	13,258,549.54
Cloud Engineer	2	136,890,000,000,000.00	11,700,000.00
Data Analyst	2	264,062,500,000,000.00	16,250,000.00
Data Engineer	3	0.00	0.00
Data Scientist	3	25,162,222,222,222.00	5,016,195.99
Database Administrator	2	55,875,625,000,000.00	7,475,000.00
DevOps Engineer	11	238,649,380,247,934.00	15,448,280.82
DevSecOps Engineer	3	73,608,888,888,888.50	8,579,562.28
Embedded Engineer	2	10,562,500,000,000.00	3,250,000.00
ERP Developer	2	0.00	0.00
Frontend Developer	22	365,083,331,611,570.50	19,107,153.94
Fullstack Developer	43	377,098,780,742,023.00	19,419,031.41
Game Developer	4	56,686,875,000,000.00	7,529,068.67
Manager	12	408,898,888,888,888.50	20,221,248.45
Manual Tester	7	66,916,734,693,877.62	8,180,264.95
Mobile Application Developer	24	273,621,875,000,000.00	16,541,519.73
Product Manager	4	55,671,875,000,000.00	7,461,358.79
Product Owner	5	353,634,040,166,222.00	18,805,159.93
Project Manager	6	881,288,055,555,556.00	29,686,496.18
Security Engineer	4	22,075,625,000,000.00	4,698,470.50
Software/Technical Architect	6	792,281,388,888,888.00	28,147,493.47
Solution Architect	2	10,562,500,000,000.00	3,250,000.00
Systems Engineer / Administrator	3	181,768,888,888,888.75	13,482,169.29
Test Coordinator / QAQC Coordinator	3	144,375,555,555,555.56	12,015,637.96
UX/UI Designer	6	66,744,722,222,222.19	8,169,744.32
