Column1;Column2
.NET;65
.NET Core;2
.Net Core;13
3D Max;1
3D Modelling;1
3ds Max;1
A/B testing;1
ABAP;1
AI;104
API;76
ARM Cortex;1
ASP.NET;14
AUTOSAR;1
AWS;106
AWS CloudFormation;2
AWS Lambda;2
Adobe;2
Adobe Photoshop;4
Adobe XD;3
Agile;122
Agile & Scrum;4
Agora;1
Algorithms;1
Android;46
Android studio;4
Angular;31
AngularJS;2
Animation 3D;1
Ansible;1
Anti-malware;1
Antivirus;1
Apache Airflow;1
Apache HttpClient;1
Apache Spark;3
Apex;1
Appium;4
Application Security;2
AutoCAD;1
Automation QA;1
Automation Test;56
Automation Tester;7
Azure;49
BPMN;3
BRD;1
Back-End;8
Bash Shell;2
Big Data;22
BigCommerce;4
Black box testing;4
Blockchain;13
Boost;1
Bootstrap;1
BrSE;3
Bridge Engineer;11
Bridge SE;2
BrowserStack;1
Business Analysis;65
Business Analyst;18
Business Intelligence;5
C Language;1
C language;17
C#;73
C++;48
C/C++;7
CCNA;3
CI/CD;58
CRM;6
CSS;46
CSS 3;12
CakePHP;1
Cassandra;1
Cisco;4
Clean Architecture;1
Cloud;77
Cloud Security;6
Cloud-native Architecture;3
CloudFormation;3
Cocoa Touch;1
Cocos;2
Cocos Creator;1
CodeIgniter;1
Computer Vision;8
Container Security;1
Creative Direction;1
Cryptocurrency;1
Cryptography;2
Cucumber;4
Cybersecurity;19
Cypress;2
D3.js;1
DBA;2
DBT;1
DNS Security;1
Dart;7
Data Administrator;1
Data Analysis;26
Data Analyst;1
Data Analytics;9
Data Architecture;1
Data Engineer;22
Data Quality Tools;1
Data Science;21
Data Visualization;4
Data Warehouse;1
Data Warehousing;11
Data modeling;2
Data-driven;3
Database;77
Database Administrator;1
Databricks;9
Decorator pattern;1
Deep Learning;10
Design;20
Design Patterns;2
Design Systems;5
DevOps;89
DevSecOps;12
Django;16
Docker;40
Domain-Driven Design;3
DynamoDB;1
EDR;2
ELK Stack;1
ELT;5
ERP;19
ETL;19
Elasticsearch;3
Electron;1
Embedded;12
Embedded Android;1
Embedded C;3
Embedded Engineer;2
Embedded System;1
Encryption & Key Management;1
Encryption Key Management;1
English;284
Enterprise Architecture;3
Entity Framework;3
Entity Framework Core;2
Express;1
ExpressJS;6
FastAPI;5
Figma;24
Firebase;2
Firewall;4
Firmware;3
Flask;3
Flutter;28
Front-End;5
Full-Stack;5
Fullstack;28
Functional specifications;1
GCP;8
Game;4
Game Artist;1
Game Design;2
Game Developer;1
Game Mobile;1
Games;23
Generative AI;9
Gin;4
Git;38
GitHub;2
GitLab;3
GitLab CI;2
Golang;68
Google Cloud;6
Google Cloud SQL;1
Governance;2
Grafana;3
Grails;1
GraphQL;5
Graphic Design;1
HIPAA / GDPR;1
HRM / HCM;3
HTML;38
HTML5;33
Hadoop;1
Hardhat;1
Hardware Troubleshooting;1
Helm;1
Hibernate;7
IDS/IPS;1
ISO 27001;1
IT Audit;5
IT Communication/Translation;4
IT Comtor;1
IT Consultant;2
IT Helpdesk;3
IT Operations;1
IT Security;14
IT Support;17
IT System;2
ITIL Foundation;2
Identity & Access Management;2
Illustrator;6
Image Recognition;1
Incident Response;2
InfluxDB;2
Information Security;7
Infrastructure;1
Integration test;4
IoT;7
IoT Platforms;3
Ionic;1
J2EE;9
JQuery;5
JSON;10
JUnit;2
Japanese;29
Japanese - N2;2
Japanese IT Communication;7
Java;235
Java EE;3
Java Swing;1
JavaScript;177
Jenkins;4
Jest;3
Jira;31
Jmeter;3
Kafka;9
Katalon;2
Keras;1
KonvaJS;1
Korean;7
Kotlin;31
Kubernetes;22
LINQ;5
LLM;19
Laravel;23
Leadership;40
Lean Project Management;2
Less;1
Linux;60
Live2D;1
LoadRunner;1
Lua;1
MFC;2
MLOps;5
MS Office;1
MS SQL;1
MVC;13
MVP;3
MVVM;9
Machine Learning;58
Magento;4
Manager;1
Manual Test;3
Manual Tester;4
MariaDB;1
Market research;4
Marketing;1
Matlab;1
