Job name,Company name,Star,Lương,Skills,Job Expertise,Job Domain,Kinh nghiệm,Level,Work at,Work days,Company size,Address,Company industry,Company country,link,Min Lương,Max Lương,Average Lương
"Software Engineer (AI-driven, GenerativeAI)",MOSO Việt Nam,,"500 - 1,500 USD","AI,Python,Generative AI,NodeJS",AI / Machine Learning Engineer,"IT Services and IT Consulting,Software Products and Web Services,Financial Services,Emerging Tech R&D,AI Software & Services",,,At office,Monday - Friday,1-50 employees,"63 Lương Nhữ Học, Phường Chợ Lớn, TP.HCM, District 5, Ho Chi Minh",Software Products and Web Services,Vietnam,https://itviec.com/it-jobs/software-engineer-ai-driven-generativeai-moso-viet-nam-2837,13000000.0,39000000.0,26000000.0
Symfony Developer (3+ Years),Athena,,"1,000 - 1,300 USD","Symphony,Git,Docker,API,MySQL,PHP",Backend Developer,"IT Services and IT Consulting,Software Products and Web Services",,,At office,Monday - Friday,1-50 employees,"150 Tran Nao, An Khanh, Ho Chi Minh city, Thu Duc City, Ho Chi Minh",Software Products and Web Services,France,https://itviec.com/it-jobs/symfony-developer-3-years-athena-2529,26000000.0,33800000.0,29900000.0
4 Senior Fullstack Engineer (TypeScript/ReactJS/NextJS),BEWAO CORPORATION,,Up to 55m,"ReactJS,NestJS,NextJS,TypeScript,React Native,SQL",Fullstack Developer,Healthcare,,,At office,Monday - Friday,1-50 employees,"95-97 Nguyễn Cơ Thạch, Phường An Lợi Đông, Thành phố Thủ Đức, TP Hồ Chí Minh, Thu Duc City, Ho Chi Minh",Software Products and Web Services,Vietnam,https://itviec.com/it-jobs/senior-fullstack-engineer-typescript-reactjs-nextjs-bewao-corporation-0831,,55000000.0,55000000.0
"Senior Backend Developer (PHP, Laravel, MySQL, Kafka)",CUBICSTACK SOLUTIONS,,"1,000 - 1,800 USD","PHP,Microservices Architecture,Laravel,Database,MySQL,AWS",Backend Developer,Financial Services,,,At office,Monday - Friday,1-50 employees,"Charmington La Pointe Officetel Apartments, 181 Cao Thang St, District 10, Ho Chi Minh",Financial Services,Vietnam,https://itviec.com/it-jobs/senior-backend-developer-php-laravel-mysql-kafka-cubicstack-solutions-2050,26000000.0,46800000.0,36400000.0
10 Fullstack (C# JavaScript) Sr Developers /up to $3000,RANGSTRUP IT Vietnam,4.5,"1,400 - 3,000 USD","C#,ASP.NET,English,Azure,.NET,JavaScript",Fullstack Developer,"Environment,Software Development Outsourcing,Software Products and Web Services",,,Hybrid,Monday - Friday,1-50 employees,"19 Tan Canh, Tan Binh, Ho Chi Minh",Software Development Outsourcing,Denmark,https://itviec.com/it-jobs/10-fullstack-c-javascript-sr-developers-up-to-3000-rangstrup-it-vietnam-1422,36400000.0,78000000.0,57200000.0
Remote Senior Frontend (React.js/TypeScript),Jedi Technology,4.8,"2,000 - 2,500 USD","ReactJS,JavaScript,English",Frontend Developer,"IT Services and IT Consulting,Software Development Outsourcing,Software Products and Web Services",,,Remote,Monday - Friday,1-50 employees,"Remote, Other, Ho Chi Minh",Software Development Outsourcing,Vietnam,https://itviec.com/it-jobs/remote-senior-frontend-react-js-typescript-jedi-technology-5227,52000000.0,65000000.0,58500000.0
Senior Business Analyst,AI+DI,,Up to 2k,"Business Analysis,User story,HIPAA / GDPR,English,Scrum,Agile",Business Analyst,"Education and Training,Healthcare,AI Software & Services",,,At office,Monday - Friday,1-50 employees,"46 Bach Dang Street, Ward 2, Tan Binh, Ho Chi Minh",Software Products and Web Services,Vietnam,https://itviec.com/it-jobs/senior-business-analyst-ai-di-4335,,52000000.0,52000000.0
Project Manager,Nakivo,,"1,800 - 2,400 USD","Project Management,Cloud,Waterfall Methodology,Agile,Team Management,English",Project Manager,Software Products and Web Services,,,At office,Monday - Friday,151-300 employees,"16 Le Quy Don, Phu Nhuan, Ho Chi Minh",Software Products and Web Services,United States,https://itviec.com/it-jobs/project-manager-nakivo-1939,46800000.0,62400000.0,54600000.0
Senior Android Developer (Kotlin/Java),TOHSoft,4.8,"700 - 1,800 USD","Android,PHP,Software Architecture,Android studio,Java,JSON",Mobile Application Developer,"IT Services and IT Consulting,Software Development Outsourcing,Software Products and Web Services",,,At office,Monday - Friday,51-150 employees,"Tầng 16 toà nhà văn phòng Viwaseen Số 48, Đường Tố Hữu, phường Trung Văn, Nam Tu Liem, Ha Noi",Telecommunication,Vietnam,https://itviec.com/it-jobs/senior-android-developer-kotlin-java-tohsoft-0933,18200000.0,46800000.0,32500000.0
[HN_New Project] Project Manager (Agile/ Scrum),OpenCommerce Group,3.8,"1,000 - 2,000 USD","Project Management,Team Management,Leadership,Scrum,Tester,Agile",Scrum Master / Agile Coach,"E-commerce,AI Software & Services",,,At office,Monday - Friday,151-300 employees,"Tầng 2, Tòa nhà Hoàng Cầu Skyline, Số 36 Phố Hoàng Cầu, Phường Ô Chợ Dừa, Dong Da, Ha Noi",Software Products and Web Services,Vietnam,https://itviec.com/it-jobs/hn_new-project-project-manager-agile-scrum-opencommerce-group-5157,26000000.0,52000000.0,39000000.0
Chuyên viên Kiểm Thử Phần Mềm,The Human Inc,,600 - 900 USD,"Tester,QA QC,API,SQL",Manual Tester,Financial Services,,,At office,Monday - Friday,51-150 employees,"Tòa nhà Comatce, 61 Ngụy Như Kon Tum, Nhân Chính, Thanh Xuân, Hà Nội, Thanh Xuan, Ha Noi",Financial Services,Vietnam,https://itviec.com/it-jobs/chuyen-vien-kiem-thu-phan-mem-the-human-inc-2928,15600000.0,23400000.0,19500000.0
"Mid/Senior Fullstack Developer (ReactJS, NodeJS)",VeXeRe,4.1,"1,000 - 1,600 USD","NodeJS,Linux,macOS,PostgreSql,React Native,ReactJS",Fullstack Developer,"E-commerce,IT Services and IT Consulting,Transportation, Logistics and Warehouse,Software Products and Web Services",,,Hybrid,Monday - Friday,151-300 employees,"384 Hoàng Diệu, phường 6, District 4, Ho Chi Minh","Transportation, Logistics and Warehouse",Vietnam,https://itviec.com/it-jobs/mid-senior-fullstack-developer-reactjs-nodejs-vexere-1555,26000000.0,41600000.0,33800000.0
Lead Software Engineer (Python),Teamflow GmbH,,"70,000,000 vnd","Python,AI,Leadership,Azure,Agile,English",Manager,"Media, Advertising and Entertainment,IT Services and IT Consulting,Software Products and Web Services,AI Software & Services",,,At office,Monday - Friday,1-50 employees,"SONATUS - THE SENTRY 15 Lê Thánh Tôn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam., District 1, Ho Chi Minh",Software Products and Web Services,Germany,https://itviec.com/it-jobs/lead-software-engineer-python-teamflow-gmbh-3854,70000000.0,70000000.0,70000000.0
